episode,reward,score,steps,epsilon,loss_mean,ma100_reward
492,7.6,9,50,0.0853,0.033801,6.2929
493,16.57,19,163,0.0849,0.035692,6.4032
494,7.32,9,78,0.0845,0.032486,6.3383
495,12.95,15,121,0.0841,0.02665,6.4151
496,4.49,6,58,0.0836,0.032926,6.4153
497,4.56,6,51,0.0832,0.028943,6.4237
498,6.39,8,70,0.0828,0.028064,6.3848
499,9.09,11,103,0.0824,0.031055,6.4485
500,9.88,12,125,0.082,0.033855,6.5025
501,7.41,9,69,0.0816,0.035487,6.5108
502,5.67,7,41,0.0812,0.028436,6.5591
503,6.42,8,67,0.0808,0.031563,6.5399
504,6.57,8,52,0.0804,0.031964,6.5325
505,15.56,18,163,0.08,0.038048,6.6883
506,9.31,11,81,0.0796,0.038839,6.7165
507,6.07,8,102,0.0792,0.035026,6.6778
508,18.26,21,196,0.0788,0.036576,6.7682
509,4.56,6,51,0.0784,0.026216,6.7248
510,7.41,9,69,0.078,0.033345,6.66
511,9.99,12,114,0.0776,0.034632,6.7515
512,5.33,7,75,0.0772,0.03193,6.6463
513,0.85,2,18,0.0768,0.032458,6.6357
514,8.42,10,69,0.0764,0.029552,6.7211
515,11.25,13,89,0.076,0.034338,6.7583
516,7.35,9,75,0.0757,0.042414,6.7578
517,0.76,2,27,0.0753,0.037772,6.6575
518,2.85,4,20,0.0749,0.037363,6.6868
519,8.12,10,99,0.0745,0.037477,6.6922
520,12.91,15,125,0.0742,0.031991,6.7653
521,6.3,8,79,0.0738,0.033983,6.8014
522,10.3,12,83,0.0734,0.037774,6.8775
523,15.76,18,143,0.0731,0.033053,6.9527
524,0.94,2,9,0.0727,0.034583,6.8864
525,15.14,17,104,0.0723,0.037134,6.9741
526,5.66,7,42,0.072,0.032308,6.9499
527,13.5,16,167,0.0716,0.03284,7.0006
528,6.35,8,74,0.0712,0.037993,6.9353
529,16.99,19,121,0.0709,0.03918,7.0683
530,9.51,11,61,0.0705,0.042766,7.1161
531,5.24,7,84,0.0702,0.031576,7.0579
532,14.04,16,113,0.0698,0.042833,7.19
533,0.78,2,25,0.0695,0.037717,7.1892
534,11.25,13,89,0.0691,0.036545,7.302
535,2.8,4,25,0.0688,0.040382,7.3212
536,2.76,4,29,0.0684,0.024853,7.3024
537,12.85,15,131,0.0681,0.034965,7.301
538,5.61,7,47,0.0678,0.039395,7.2455
539,15.04,17,114,0.0674,0.039593,7.3501
540,8.52,10,59,0.0671,0.039008,7.4182
541,0.81,2,22,0.0668,0.033817,7.4368
542,4.73,6,34,0.0664,0.038612,7.4684
543,5.54,7,54,0.0661,0.0429,7.4975
544,18.1,21,212,0.0658,0.036568,7.5778
545,6.51,8,58,0.0654,0.040855,7.5674
