episode,reward,score,steps,epsilon,loss_mean,ma100_reward
249,-0.7283,0,32,0.6087,0.06973,-0.9445
250,0.3392,0,113,0.6074,0.05859,-0.9319
251,-1.6599,0,103,0.6062,0.057917,-0.9381
252,-0.8406,0,18,0.605,0.066607,-0.9389
253,-0.6537,0,118,0.6038,0.058619,-0.9374
254,-1.0053,0,5,0.6026,0.12692,-0.9493
255,-0.8772,0,36,0.6014,0.069105,-0.9539
256,-1.1279,0,24,0.6002,0.078816,-0.9548
257,-1.01,0,2,0.599,0.089707,-0.9322
258,0.2413,0,113,0.5978,0.062077,-0.9266
259,-2.515,0,145,0.5966,0.054748,-0.9497
260,-2.3576,0,270,0.5954,0.065984,-0.9543
261,-1.0,0,1,0.5942,0.058919,-0.9525
262,0.1533,0,255,0.593,0.063979,-0.941
263,-0.929,0,110,0.5918,0.065305,-0.9508
264,-1.0398,0,13,0.5907,0.070173,-0.9495
265,-0.856,0,52,0.5895,0.0603,-0.9393
266,-1.01,0,2,0.5883,0.034614,-0.9355
267,-0.6852,0,246,0.5871,0.060862,-0.9233
268,0.6755,0,71,0.5859,0.067812,-0.9046
269,-1.7953,0,400,0.5848,0.063246,-0.9206
270,-1.7004,0,139,0.5836,0.058569,-0.9404
271,-1.0,0,1,0.5824,0.210142,-0.9419
272,-1.4053,0,18,0.5813,0.063896,-0.9457
273,-1.3994,0,44,0.5801,0.064098,-0.9399
274,-1.485,0,120,0.5789,0.07502,-0.9448
275,-2.0421,0,105,0.5778,0.065838,-0.9617
276,-1.0,0,1,0.5766,0.060885,-0.9617
277,-1.4083,0,88,0.5755,0.065291,-0.9645
278,-1.0,0,1,0.5743,0.104628,-0.961
279,-1.0,0,1,0.5732,0.046747,-0.9777
280,-1.0,0,1,0.572,0.03645,-0.9743
281,-0.1011,0,26,0.5709,0.067702,-0.9633
282,-0.5837,0,141,0.5697,0.069599,-0.9601
283,-1.1808,0,17,0.5686,0.043959,-0.9658
284,-1.0239,0,6,0.5675,0.068892,-0.9718
285,-1.2513,0,106,0.5663,0.062208,-0.9717
286,-1.03,0,5,0.5652,0.089167,-0.9635
287,-0.551,0,11,0.5641,0.09565,-0.958
288,-0.7196,0,237,0.5629,0.064908,-0.9446
289,0.8458,0,110,0.5618,0.065723,-0.9382
290,-0.7895,0,32,0.5607,0.074573,-0.9412
291,-1.3324,0,30,0.5596,0.067455,-0.9384
292,-0.1459,0,26,0.5585,0.059885,-0.9279
293,-1.0,0,1,0.5573,0.093343,-0.9196
